book_time,book_name,book_chinese,book_author,book_content,book_source,book_size,book_url,book_intro,book_type,book_format,book_download_url,book_id,book_zip_pswd
01月14日 14:05,北鸢,,,,,0.39 M,http://www.zoudupai.com/note/29532,《北鸢》起笔于民国商贾世家子弟卢文笙的成长，收束于上世纪中叶。将波诡云谲的民国动荡史寄予两个家族的命运沉浮，书写中国最为丰盛起伏的断代。人生一线，恰似风筝。命运漂浮无着，人亦应有自己的主心骨。政客、军阀、寓公、文人、商人、伶人，书中上百位经典民国人物，进退于沧桑。,文学,mobi,http://www.zoudupai.com/note/29532,29532,
2014:12:21 23:10,不会管理自己就战胜不了别人,,,,,0.45 M,http://www.zoudupai.com/note/12682,《不会管理自己就战胜不了别人》我们随时要给自己准备两盆水：一盆冷水，用来洗头。冷水洗头，让自己始终保持清醒的头脑；一盆热水，用来洗脚。热水洗脚，让自己永葆管理的动力和激情。,心理学,mobi,http://www.zoudupai.com/note/12682,12682,
2016:07:06 16:18,好兵帅克,,,,,1.23 M,http://www.zoudupai.com/note/25344,《好兵帅克》帅克是一个很二很滑稽的兵。他非常善于运用民间谚语、笑话，接过上司的口号，以其人之道还治其人之身。他走到哪里，那里的正常秩序就会被搅得鸡飞狗跳、天翻地覆。帅克的形象有点像是阿甘，他的存在让本书笑点不断，又不乏讽刺和深度。如果你想乐一下，不妨来认识下帅克。,外国小说,mobi,http://www.zoudupai.com/note/25344,25344,
2015:01:06 10:51,海边的卡夫卡,,,,,0.94 M,http://www.zoudupai.com/note/13507,《海边的卡夫卡》小说的主人公是一位自称名叫田村卡夫卡——作者始终未交代其真名——的少年。他在十五岁生日前夜独自离家出走，乘坐夜行长途巴士远赴四国。出走的原因是为了逃避父亲所作的比俄底浦斯王还要可怕的预言：尔将弑父，将与尔母、尔姐交合。,外国小说,mobi,http://www.zoudupai.com/note/13507,13507,
2016:02:21 22:35,股票大作手回忆录,,,,,2.49 M,http://www.zoudupai.com/note/23367,《股票大作手回忆录》一书，不但用鲜活的笔触，复原了埃德温·勒菲弗充满激情的生活历程，更从专业的角度，详细介绍了李弗莫尔的各种技巧，并用最准确的表述，无限接近了他的思想最深邃处。,股票投资,mobi,http://www.zoudupai.com/note/23367,23367,
02月24日 17:32,爱的艺术,,,,,0.33 M,http://www.zoudupai.com/note/30813,《爱的艺术》是一部以精神分析方法研究和阐述爱的艺术实践的专著。自问世，便被译成20多种文字，仅英文版就发行150余万册，中文译本就不少于5种，至今还长销不衰，影响遍及世界各地。,社会,mobi,http://www.zoudupai.com/note/30813,30813,
2014:10:09 00:21,废都,,,,,2.03 M,http://www.zoudupai.com/note/10794,《废都》是贾平凹最著名的争议小说，由于大量的性描写在国内遭禁16年，却在外国赢得声誉，1997年贾平凹凭《废都》获得法国著名的费米娜文学奖。,当代小说,mobi,http://www.zoudupai.com/note/10794,10794,
2014:12:03 16:51,从惊讶到思考：数学的印迹,,,,,5.77 M,http://www.zoudupai.com/note/12286,《从惊讶到思考：数学的印迹》这是一本数学科普读物，从日常生活、自然、音乐、体育、艺术、建筑、天文历法、科学技术、经济、社会科学等方面选取了与数学相关的若干有趣题材进行了简要介绍。,科学,mobi,http://www.zoudupai.com/note/12286,12286,
2014:07:01 18:07,绝版魏晋,,,,,0.21 M,http://www.zoudupai.com/note/8433,《绝版魏晋》以《世说新语》为脉络，以坚定的态度和肯定的立场对令人追慕的“魏晋风度”和“魏晋历史”，做了一次百科全书式的书写。,历史,mobi,http://www.zoudupai.com/note/8433,8433,
2014:09:12 15:01,妻妾成群,,,,,0.19 M,http://www.zoudupai.com/note/9846,《妻妾成群》借旧中国特有的封建家庭模式作小说的框架，一个男人娶了四个女人做太太。被改编为电影《大红灯笼高高挂》，张艺谋导演，获奥斯卡金像奖提名。,当代小说,mobi,http://www.zoudupai.com/note/9846,9846,
2014:09:03 10:33,龙文身的女孩,,,,,1.29 M,http://www.zoudupai.com/note/9652,《龙文身的女孩》八十二岁的瑞典产业巨子范耶尔在生日当天，照例收到了一幅匿名寄来的裱框压花，却令他情绪溃堤地哭了起来……四十三岁的《千禧年》杂志发行人布隆维斯特，一向以揭发企业丑闻为职志，这次却栽在一个穿Armani西装的卑鄙股市投机客手上，面临牢狱之灾与信�
